Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
../2018-1-21/IMG/robocam_2018_01_21_18_30_37_230.jpg;0;1;0;1.620578;111.054;46.87874;1.26649;105.7632;-0.001007125
../2018-1-21/IMG/robocam_2018_01_21_18_30_37_329.jpg;0;1;0;1.71284;111.0077;47.04539;1.272852;105.7466;-0.001046264
../2018-1-21/IMG/robocam_2018_01_21_18_30_37_429.jpg;0;1;0;1.788544;110.9594;47.21941;1.278444;105.7281;-0.001076503
../2018-1-21/IMG/robocam_2018_01_21_18_30_37_529.jpg;0;1;0;1.864985;110.9091;47.40078;1.285795;105.71;-0.001092932
../2018-1-21/IMG/robocam_2018_01_21_18_30_37_629.jpg;0;1;0;1.940463;110.8568;47.58947;1.295017;105.6902;-0.00112476
../2018-1-21/IMG/robocam_2018_01_21_18_30_37_729.jpg;0;1;0;2.01555;110.8027;47.78537;1.302214;105.6709;-0.001168171
../2018-1-21/IMG/robocam_2018_01_21_18_30_37_829.jpg;0;1;0;2.089948;110.7467;47.98839;1.305461;105.6531;-0.001174937
../2018-1-21/IMG/robocam_2018_01_21_18_30_37_929.jpg;0;1;0;2.163954;110.6887;48.1986;1.310429;105.6345;-0.001202868
../2018-1-21/IMG/robocam_2018_01_21_18_30_38_030.jpg;0;1;0;2.237559;110.6288;48.41595;1.317259;105.6166;-0.00125243
../2018-1-21/IMG/robocam_2018_01_21_18_30_38_130.jpg;0;1;0;2.310787;110.5671;48.64038;1.323528;105.5963;-0.001271702
../2018-1-21/IMG/robocam_2018_01_21_18_30_38_229.jpg;0;1;0;2.382826;110.5036;48.87175;1.325121;105.5772;-0.001265217
../2018-1-21/IMG/robocam_2018_01_21_18_30_38_329.jpg;0;1;0;2.45575;110.4382;49.11022;1.33301;105.558;-0.001308429
../2018-1-21/IMG/robocam_2018_01_21_18_30_38_429.jpg;0;1;0;2.52751;110.371;49.35557;1.337119;105.5396;-0.001327993
../2018-1-21/IMG/robocam_2018_01_21_18_30_38_529.jpg;0;1;0;2.599192;110.302;49.60777;1.336184;105.5188;-0.001321481
../2018-1-21/IMG/robocam_2018_01_21_18_30_38_629.jpg;0;1;0;2.669822;110.2312;49.86707;1.350584;105.4986;-0.001395267
../2018-1-21/IMG/robocam_2018_01_21_18_30_38_729.jpg;0;1;0;2.726679;110.1587;50.13295;1.348177;105.4763;-0.001381294
../2018-1-21/IMG/robocam_2018_01_21_18_30_38_829.jpg;0;1;0;2.796948;110.0844;50.40584;1.3588;105.4542;-0.001426563
../2018-1-21/IMG/robocam_2018_01_21_18_30_38_929.jpg;0;1;0;2.880502;110.0084;50.68539;1.36431;105.4337;-0.001458112
../2018-1-21/IMG/robocam_2018_01_21_18_30_39_029.jpg;0;1;0;2.949997;109.9307;50.97161;1.36562;105.4146;-0.001018761
../2018-1-21/IMG/robocam_2018_01_21_18_30_39_130.jpg;0;1;0;3.018764;109.8513;51.26456;1.370677;105.3904;-0.001487392
../2018-1-21/IMG/robocam_2018_01_21_18_30_39_229.jpg;0;1;0;3.087915;109.7702;51.56419;1.378399;105.3671;-0.001516834
../2018-1-21/IMG/robocam_2018_01_21_18_30_39_329.jpg;0;1;0;3.155524;109.6875;51.87037;1.381914;105.3445;-0.001415875
../2018-1-21/IMG/robocam_2018_01_21_18_30_39_430.jpg;0;1;0;3.223188;109.6032;52.18315;1.387009;105.32;-0.001433479
../2018-1-21/IMG/robocam_2018_01_21_18_30_39_529.jpg;0;1;0;3.276993;109.5172;52.50245;1.391514;105.2949;-0.001464627
../2018-1-21/IMG/robocam_2018_01_21_18_30_39_629.jpg;0;1;0;3.357415;109.4296;52.82825;1.39687;105.2684;-0.001577148
../2018-1-21/IMG/robocam_2018_01_21_18_30_39_729.jpg;0;1;0;3.424412;109.3405;53.16049;1.400481;105.2419;-0.001614368
../2018-1-21/IMG/robocam_2018_01_21_18_30_39_829.jpg;0;1;0;3.477354;109.2498;53.49923;1.408193;105.2144;-0.001528956
